movieId,actorId,characterName,creditOrder,pay,screenTime,actorIndex
1,1,James,1,,,2608
1,2,Mollie,2,,,2608
1,3,Rosie,3,,,2608
1,4,Albert,4,,,2608
1,5,Grandpa,5,,,2608
1,6,Mikey,6,,,2608
1,7,Rona,7,,,2608
1,8,Mikey,8,,,2608
1,9,Mikey,9,,,2608
2,10,Hoke Colburn,1,,,2608
2,11,Daisy Werthan,2,,,2608
2,12,Boolie Werthan,3,,,2608
2,13,Florine Werthan (as Patti Lupone),4,,,2608
2,14,Idella,5,,,2608
2,15,Miss McClatchey (as Joann Havrilla),6,,,2608
2,16,Oscar,7,,,2608
2,17,Dr. Weil,8,,,2608
2,18,Nonie,9,,,2608
4,19,Ron Kovic,1,,,2608
4,20,Young Ron,2,,,2608
4,21,Mr. Kovic,3,,,2608
4,22,Mrs. Kovic,4,,,2608
4,23,Tommy Kovic,5,,,2608
4,24,Young Tommy,6,,,2608
4,25,Jimmy Kovic,7,,,2608
4,26,Young Jimmy,8,,,2608
4,27,Susanne Kovic,9,,,2608
5,28,Ray Kinsella,1,,,2608
5,29,Annie Kinsella,2,,,2608
5,30,Karin Kinsella,3,,,2608
5,31,Shoeless Joe Jackson,4,,,2608
5,32,Mark,5,,,2608
5,33,Terence Mann,6,,,2608
5,34,Dr. Archibald 'Moonlight' Graham,7,,,2608
5,35,Archie Graham,8,,,2608
5,36,John Kinsella,9,,,2608
6,37,Buck Russell,1,,,2608
6,38,Tia Russell,2,,,2608
6,30,Maizy Russell,3,,,2608
6,39,Miles Russell,4,,,2608
6,29,Chanice Kobolowski,5,,,2608
6,40,Cindy Russell,6,,,2608
6,41,Bob Russell,7,,,2608
6,42,Marcie Dahlgren-Frost,8,,,2608
6,43,Bug,9,,,2608
7,44,Harry Burns,1,,,2608
7,45,Sally Albright,2,,,2608
7,46,Marie,3,,,2608
7,47,Jess,4,,,2608
7,48,Joe,5,,,2608
7,49,Alice,6,,,2608
7,50,Amanda,7,,,2608
7,51,Stewardess,8,,,2608
7,52,Man on Aisle,9,,,2608
8,53,John Keating,1,,,2608
8,54,Neil Perry,2,,,2608
8,55,Todd Anderson,3,,,2608
8,56,Knox Overstreet,4,,,2608
8,57,Charlie Dalton,5,,,2608
8,58,Richard Cameron,6,,,2608
8,59,Steven Meeks,7,,,2608
8,60,Gerard Pitts,8,,,2608
8,61,Mr. Nolan,9,,,2608
9,62,Gil,1,,,2608
9,63,Karen,2,,,2608
9,64,Helen,3,,,2608
9,65,Frank,4,,,2608
9,66,Nathan,5,,,2608
9,67,Larry,6,,,2608
9,68,Julie,7,,,2608
9,69,Tod,8,,,2608
9,70,Susan,9,,,2608
10,71,Martin Riggs,1,,,2608
10,72,Roger Murtaugh,2,,,2608
10,73,Leo Getz,3,,,2608
10,74,Arjen Rudd,4,,,2608
10,75,Pieter Vorstedt,5,,,2608
10,76,Rika Van Den Haas,6,,,2608
10,77,Trish Murtaugh,7,,,2608
10,78,Rianne Murtaugh,8,,,2608
10,79,Captain Murphy,9,,,2608
11,80,Oliver Rose,1,,,2608
11,81,Barbara Rose,2,,,2608
11,82,Gavin D'Amato,3,,,2608
11,83,Susan,4,,,2608
11,84,Josh at 17,5,,,2608
11,85,Carolyn at 17,6,,,2608
11,86,Harry Thurmont,7,,,2608
11,87,Jason Larrabee,8,,,2608
11,88,Man in Chair,9,,,2608
12,89,Clark,1,,,2608
12,90,Ellen,2,,,2608
12,91,Audrey,3,,,2608
12,92,Rusty,4,,,2608
12,93,"Clark, Sr.",5,,,2608
12,94,Nora,6,,,2608
12,95,Art,7,,,2608
12,96,Francis,8,,,2608
12,97,Cousin Eddie Johnson,9,,,2608
13,66,Wayne Szalinski,1,,,2608
13,98,Big Russ Thompson,2,,,2608
13,99,Diane Szalinski,3,,,2608
13,100,Mae Thompson,4,,,2608
13,101,Little Russ Thompson,5,,,2608
13,102,Ron Thompson,6,,,2608
13,103,Amy Szalinski,7,,,2608
13,104,Nick Szalinski,8,,,2608
13,105,Tommy Pervis,9,,,2608
14,106,Batman,1,,00:32:30,2608
14,107,Joker,2,,00:32:15,2608
14,108,Vicki Vale,3,,00:29:00,2608
14,109,Alexander Knox,4,,00:08:45,2608
14,110,Commissioner Gordon,5,,00:04:30,2608
14,111,Harvey Dent,6,,00:02:45,2608
14,112,Alfred,7,,00:04:15,2608
14,113,Grissom,8,,00:03:30,2608
14,114,Alicia,9,,,2608
15,115,Dr. Peter Venkman,1,,,2608
15,12,Dr. Raymond Stantz,2,,,2608
15,116,Dana Barrett,3,,,2608
15,117,Dr. Egon Spengler,4,,,2608
15,66,Louis Tully,5,,,2608
